,id,MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,geo_groups,MedHouseVal
0,37137,1.7062,35,4.966367713004484,1.0965391621129326,1318,2.8444108761329305,39.75,-121.85,3,0.586161
1,37138,1.3882,22,4.187035069075452,1.0982286634460547,2296,3.180218446601942,33.95,-118.29,27,0.9794337
2,37139,7.7197,21,7.129436325678497,0.9592760180995475,1535,2.888888888888889,33.61,-117.81,24,3.9420285
3,37140,4.6806,49,4.769696969696965,1.0484848484848486,707,1.7435897435897436,34.17,-118.34,14,3.320752
4,37141,3.1284,25,3.76530612244898,1.0816326530612246,4716,2.003826530612245,34.17,-118.29,14,2.0546937
5,37142,5.7268,23,6.0625,1.1452702702702702,1039,2.3870967741935485,33.81,-118.11,1,3.0953007
6,37143,3.3583,25,5.068783068783069,1.227272727272727,949,3.602564102564102,33.14,-117.12,4,1.453763
7,37144,4.1302,35,5.944723618090452,1.0623608017817372,1043,3.1659192825112106,34.09,-117.98,1,1.7956462
8,37145,1.7991,23,4.928363988383349,1.174061433447099,848,2.5580110497237567,37.3,-120.89,10,1.0225397
9,37146,1.7857,44,5.71712158808933,1.101644245142003,4276,2.373068783068783,33.98,-117.33,8,0.982325
10,37147,3.6584,28,4.471955533097524,1.0758293838862558,1340,2.413748378728924,34.16,-118.13,1,1.9170095
11,37148,2.1625,32,4.031578947368421,1.144736842105263,1730,2.12280701754386,32.76,-117.11,23,1.2149272
12,37149,2.6165,22,4.360114777618365,1.037643207855974,3148,2.843003412969283,37.93,-121.73,19,1.1011845
13,37150,3.1304,27,5.134783783783784,1.0653409090909092,3134,2.7234375,33.85,-117.95,24,1.9151856
14,37151,3.8571,52,6.496815286624204,1.0760233918128654,504,2.421052631578948,38.11,-121.26,16,1.5192783
15,37152,5.6971,25,5.711703958691911,1.0738471673254235,964,2.023224043715847,34.19,-118.53,14,4.144627
16,37153,3.8259,8,5.441025641025641,1.0178571428571428,2724,2.7025641025641027,34.7,-118.16,14,1.3567208
17,37154,4.0795,12,4.873180873180873,1.0386100386100383,1665,2.1861313868613137,33.14,-117.0,4,1.7872369
18,37155,4.3703,15,5.460949464012251,1.1002277904328015,1275,2.2270363951473136,38.55,-121.74,5,1.5983852
19,37156,2.767,32,5.368029739776952,1.024653312788906,1368,2.793840351979887,40.63,-122.43,13,0.8929336
20,37157,2.8043,39,4.187134502923977,1.1608187134502923,735,2.2586206896551726,36.6,-121.87,15,2.154939
21,37158,3.0,35,4.285163776493256,0.9923954372623576,1092,2.8560311284046693,35.4,-119.0,9,0.99891907
22,37159,2.9554,39,5.3788927335640135,1.0493273542600896,607,2.9356913183279745,33.8,-116.99,8,0.8093065
23,37160,2.1792,16,5.39493670886076,1.093491124260355,743,2.5080906148867315,39.79,-121.62,3,0.7750454
24,37161,1.867,52,2.435483870967742,1.15674518574053,1257,2.006085509867549,37.78,-122.42,11,1.9401157
25,37162,5.2449,22,6.764285714285714,0.9938775510204082,834,2.8489573869346736,33.66,-117.97,24,2.4375854
26,37163,5.5461,16,6.2,1.2,343,3.12,33.83,-117.97,24,2.6052475
27,37164,2.7778,13,3.5267857142857144,1.082857142857143,878,2.585714285714286,34.15,-118.23,27,1.9634641
28,37165,6.0666,7,5.986754966887418,1.0429447852760736,3044,2.711267605633803,37.9,-122.54,11,3.517821
29,37166,4.5395,31,5.936675461741425,1.0809248554913296,746,2.8162544169611308,37.95,-121.32,16,1.6328844
30,37167,10.8034,26,7.6923076923076925,1.099188640973631,731,2.780048076923077,37.31,-122.02,26,4.646124
31,37168,15.0001,37,7.446511627906977,0.9686274509803922,688,1.8352941176470587,34.09,-118.43,27,4.719959
32,37169,3.7375,27,5.389830508474576,1.0759493670886076,2640,2.814814814814815,38.73,-121.3,5,1.3554487
33,37170,2.3,13,4.91044776119403,0.9838709677419356,1246,2.93312101910828,40.52,-122.33,13,0.7266411
34,37171,3.6875,50,3.807073954983923,1.0,1764,1.7416267942583732,37.76,-122.44,11,3.137127
35,37172,8.5403,17,7.307420494699647,1.0149625935162094,905,2.6936542669584247,34.26,-118.75,12,4.1531563
36,37173,5.1623,23,5.69084628674256,1.0250596658711215,4163,3.1646586345381524,37.41,-121.81,26,2.20364
37,37174,2.6324,21,4.4,1.05,108,2.9375,32.81,-117.2,23,1.3222096
38,37175,3.3125,9,6.35,1.03,852,3.1533333333333333,37.53,-120.88,10,1.4652401
39,37176,5.0947,6,5.64894613583876,0.9365079365079364,3269,3.047619047619047,37.58,-122.01,20,2.5082638
40,37177,3.6361,15,4.75098814229249,0.9719101123595506,437,2.372413793103448,37.3,-121.89,26,2.1211467
41,37178,1.6952,16,3.1404199475065617,1.052123552123552,828,1.5268361581920953,32.77,-117.15,23,0.9361985
42,37179,1.6156,28,2.005780346820208,1.0334288443170965,5820,3.0563514804202483,33.78,-118.18,1,1.6509409
43,37180,7.2315,3,8.825539568345324,1.4147794994040523,3068,2.683453237410072,34.14,-118.58,14,4.0966516
44,37181,5.4024,19,5.882089552238806,1.0335820895522387,1310,3.1761194029850746,34.1,-117.66,24,2.1686847
45,37182,1.7038,8,4.577966101694916,1.2,769,3.1864406779661016,34.83,-118.27,14,0.54498
46,37183,3.4306,27,3.859300476947536,1.0624773413897328,764,1.9175257731958764,33.85,-118.38,27,3.2326064
47,37184,6.4288,12,5.737057220708447,1.0095367847411445,714,3.204359673024523,37.4,-121.78,26,2.6902986
48,37185,4.875,16,4.615384615384615,0.8461538461538461,55,1.8461538461538465,37.64,-122.09,20,3.259561
49,37186,5.1785,9,6.131645569620253,0.9836065573770492,1230,4.2025316455696204,32.8,-116.99,23,1.9296622
50,37187,2.7857,22,4.567625766871165,1.064039408866995,1690,2.596085409252669,32.73,-117.02,23,1.2562801
51,37188,4.6042,15,5.08254397834912,1.1688453159041394,669,2.2532005689900427,37.55,-122.28,2,2.6414855
52,37189,2.5562,38,5.511551155115511,1.1468531468531469,836,2.6444444444444444,40.81,-124.16,21,1.0164758
53,37190,3.7798,29,4.646987951807229,1.0682226211849193,1340,3.1490683229813663,34.2,-118.59,14,2.3218703
54,37191,1.7548,52,2.1691842900302114,1.1148036253776434,1665,2.5498489425981874,37.79,-122.41,11,1.5072002
55,37192,3.1406,28,5.544871794871795,1.0566280566280566,1075,2.7644787644787643,39.53,-121.74,3,1.0811086
56,37193,5.1074,36,6.161849710982659,0.979757085020243,637,2.422955974842768,37.24,-122.12,26,4.2248726
57,37194,2.7002,16,5.243407707911242,1.0686528497409329,1107,2.788860103626943,33.67,-116.99,8,0.96060926
58,37195,6.8099,14,7.52970297029703,1.0825082508250825,1981,3.4297029702970296,38.77,-121.21,5,3.5013587
59,37196,2.5882,20,4.467954345917471,1.0327455919395463,2493,2.764275256222548,32.74,-117.08,23,1.2841105
60,37197,2.2847,33,4.339915373765868,1.064133016616312,802,2.052572706935123,34.1,-117.41,8,1.0698744
61,37198,3.1378,5,3.8753180661577606,1.1195928753180662,6902,2.875598086124402,34.3,-118.47,14,2.0096204
62,37199,2.8558,26,3.778947368421053,1.144736842105263,1200,3.0,33.78,-118.28,27,1.4820635
63,37200,6.5338,28,6.606914212548015,1.0165562913907285,1177,2.880070546737213,37.54,-122.27,2,3.9863605
64,37201,3.5833,52,4.038461538461538,1.0769230769230769,459,1.865384615384616,37.79,-122.45,11,4.6073203
65,37202,5.2497,11,6.686493184634449,1.058139534883721,2712,3.23963133640553,37.61,-122.03,20,2.3523846
66,37203,3.7917,16,4.739307535641548,1.0738786279683377,1428,2.340136157337368,33.87,-118.12,1,1.9049621
67,37204,3.9934,28,6.11214953271028,1.0337423312883436,817,2.5794392523364484,38.44,-122.7,22,2.2060497
68,37205,4.0208,52,5.0,1.0,158,2.372093023255814,37.82,-122.25,2,2.0554714
69,37206,4.1458,4,4.5,1.0,992,1.82421875,37.81,-122.27,2,2.4333842
70,37207,3.0495,34,3.874172185430464,1.069182389937107,1212,2.7993079584775087,32.72,-117.14,23,1.5413952
71,37208,2.3929,17,4.745454545454545,1.0303030303030305,863,2.8484848484848486,36.95,-120.02,0,0.7503116
72,37209,5.1333,28,6.646859083191851,1.0522648083623694,4771,2.446618222470654,38.07,-122.56,11,3.1899452
73,37210,7.8453,20,6.573264781491003,1.043042949518464,3141,3.207792207792208,37.36,-121.98,26,3.2297456
74,37211,6.8462,17,7.202150537634409,1.0767494356659142,1556,2.470817120622568,34.16,-118.74,12,4.190236
75,37212,3.1875,16,5.752941176470588,1.0588235294117647,1540,1.6066176470588236,38.63,-121.45,5,1.3604825
76,37213,5.6344,18,6.753363228699552,1.0921052631578947,4642,2.41751649670066,34.17,-118.63,14,3.3397288
77,37214,2.8169,5,3.868263473053892,1.0591133004926108,1267,4.182620502376103,33.8,-117.88,24,2.1475995
78,37215,1.7262,24,4.519911504424779,1.0780141843971631,1194,3.5970149253731343,33.12,-117.07,4,1.0952927
79,37216,3.8672,26,5.926611414199395,1.048064085447263,2208,2.8610169491525426,34.01,-117.66,24,1.8980755
80,37217,2.6641,23,5.171428571428572,1.0,1693,3.642857142857143,34.17,-119.19,12,1.5070409
81,37218,3.8269,37,4.353515625,1.0174927113702623,727,1.7757847533632287,34.1,-118.32,27,4.2444625
82,37219,3.1875,26,5.552763819095476,1.127433628318584,1501,2.945132743362832,38.66,-121.26,5,1.3877108
83,37220,4.3864,25,4.18103448275862,0.9941520467836256,930,3.6206896551724137,37.32,-121.84,26,2.157764
84,37221,2.8139,23,5.070610687022901,1.0992018244013684,2923,3.9667994687915007,33.73,-116.98,8,1.2127746
85,37222,3.7969,26,5.836330935251799,1.0881294964028776,1311,2.827338129496403,38.5,-121.44,5,1.6120604
86,37223,2.9457,26,5.281124497991968,1.1202600216684724,1434,2.263069139966273,37.75,-122.15,2,1.616018
87,37224,6.9635,12,8.403967538322814,1.0104712041884816,1410,3.059900166389351,33.9,-117.39,8,2.8124049
88,37225,4.061,23,5.12133072407045,1.0730593607305936,2531,2.506082725060827,37.79,-121.24,16,1.6779028
89,37226,7.8426,43,7.144,0.944,890,2.532,34.06,-118.42,27,4.8717084
90,37227,3.3482,42,4.357005758157389,1.0025938566552923,895,3.0905923344947737,34.03,-118.43,27,2.3276381
91,37228,1.6563,26,5.122015915119364,1.1280388978930307,1252,2.201591515929586,40.47,-122.36,13,0.8874154
92,37229,3.1062,25,4.858156028368795,1.0736377025036818,2116,2.425625920471281,33.85,-118.39,27,2.4392352
93,37230,4.2448,13,5.610526315789474,1.131578947368421,1525,2.7255434782608696,34.14,-118.47,14,2.790624
94,37231,2.0221,25,5.673960612691466,1.0683646112600536,894,3.274111675126904,39.08,-121.56,3,0.67308646
95,37232,8.0837,4,6.496815286624204,0.9936305732484076,1226,2.8199052132701423,33.95,-118.02,1,4.2611914
96,37233,2.5147,34,4.282442748091603,1.0087390761548063,1503,3.721374045801528,37.98,-121.32,16,0.75385684
97,37234,1.3844,16,4.384418901660281,1.1207897793263646,2100,2.1750358680057387,39.15,-121.63,3,0.7942554
98,37235,2.86,23,4.396600566572238,1.1292372881355932,484,2.4424778761061945,34.17,-118.54,14,1.8754894
99,37236,5.7876,20,6.7779690189328745,1.053156146179402,3699,2.922094508301405,37.58,-122.08,20,3.3057632
100,37237,4.7813,44,5.487128712871288,1.0390763765541742,982,2.972727272727273,34.25,-118.3,14,2.0756404
101,37238,7.5,14,6.240121580547113,1.0930232558139534,2733,2.691409507908712,37.82,-122.06,20,4.0050125
102,37239,0.8702,11,2.7142857142857144,1.119047619047619,1442,2.765935214211082,34.05,-118.28,27,1.3340303
103,37240,1.875,21,3.717391304347826,1.108695652173913,1345,2.652173913043478,33.94,-116.96,8,0.9961528
104,37241,5.7068,12,7.599656357388316,1.0682004930156122,4662,2.713896457765668,38.55,-121.38,5,2.136778
105,37242,6.0299,19,5.667924528301887,1.062992125984252,1702,2.73536299765808,37.99,-121.88,19,2.3340952
106,37243,4.2234,43,5.353982300884955,0.995575221238938,873,2.303652380952381,34.01,-118.41,27,3.5628834
107,37244,3.6719,24,5.327868852459017,0.9801234567901236,406,2.253731343283582,40.2,-121.13,3,1.7785587
108,37245,4.7386,37,5.7388059701492535,1.0149253731343284,1110,2.747422680412371,37.36,-121.9,26,2.6024249
109,37246,3.062,31,5.286885245901639,1.0819672131147542,999,3.36073786407767,33.11,-117.09,4,1.4543957
110,37247,3.3627,13,5.058405683554757,1.0787269681742044,3784,2.800892857142857,34.11,-117.44,8,1.2951689
111,37248,3.2857,22,4.816199376947041,0.903930131007752,610,2.4115646258503496,33.73,-117.82,24,2.1676497
112,37249,5.6758,22,5.353944562899787,1.005780346820857,782,2.3237250554323725,34.02,-118.42,27,3.4810798
113,37250,1.9286,11,4.788643533123029,1.0192782995551162,8935,2.267987486965589,33.37,-117.27,4,1.2285562
114,37251,3.1285,34,4.5770750988142295,1.0018796992481205,1554,2.152502910330882,37.38,-122.02,26,2.53482
115,37252,1.9375,42,3.416141235813367,0.950530035335689,805,2.2166202572347267,34.02,-118.42,27,2.0461397
116,37253,4.1023,27,5.33378196500673,1.0068846815834769,2513,2.0337741607324515,34.24,-118.43,14,2.7926638
117,37254,4.0109,15,6.474167623421355,1.0418848167539267,1479,3.0180505415162453,32.91,-117.13,23,1.2829547
118,37255,3.256,17,4.4363636363636365,1.0272727272727271,830,3.6777777777777776,36.81,-121.7,15,1.9924852
119,37256,1.9375,52,2.73790489323308,1.0747330960854091,578,1.4301136363636362,37.77,-122.44,11,1.6723589
120,37257,6.777,52,6.833333333333333,1.0974358974358975,1540,2.179540232929978,34.06,-118.45,27,4.4888535
121,37258,3.1369,35,4.099201824401368,1.032490974729242,1839,4.672064777327935,37.72,-121.92,20,1.712032
122,37259,6.1092,24,6.205521472392638,0.9356846473029046,708,2.2534722222222223,33.68,-117.96,24,3.2698646
123,37260,4.5074,22,5.420054200542006,0.962059620596206,2188,3.089430894308943,38.02,-121.31,16,1.5886426
124,37261,3.6786,19,4.831360946745562,1.018867924528302,2418,2.669811320754717,37.54,-121.98,20,2.4678228
125,37262,4.0089,15,4.4673539518900345,1.0538922155688624,1779,2.8473053892215567,37.57,-122.06,20,2.4192593
126,37263,2.3687,28,3.481967213114754,1.0131147540983607,625,3.4688524590163934,32.68,-117.1,23,1.3038859
127,37264,2.6339,36,4.338028169014085,1.031055900621118,1678,3.912751677852349,32.71,-117.11,23,1.2615448
128,37265,5.6965,49,5.890909090909091,1.03125,1516,3.290909090909091,37.72,-122.47,11,3.2376528
129,37266,3.2798,41,3.8457300275482096,1.0985626283367556,1518,4.385895404120443,33.93,-118.2,1,1.56663
130,37267,5.629,13,6.180989978742788,1.04296875,1784,2.869109947643979,37.28,-121.91,26,2.7791026
131,37268,2.4273,32,5.239971346704871,1.138036809815951,1408,2.6300268096514747,38.03,-121.36,16,1.036577
132,37269,2.6316,11,5.677839851024209,1.020501138952164,1467,2.62432915921288,38.53,-121.42,5,1.0800241
133,37270,4.1591,20,5.533333333333333,1.119047619047619,398,1.98828125,38.6,-121.33,5,1.4819113
134,37271,5.0346,27,5.523985239852398,1.062043795620438,1945,2.7381546134663344,37.95,-121.97,19,2.0191917
135,37272,1.875,15,5.279220779220779,1.2012987012987013,283,2.2337662337662336,38.93,-122.89,22,1.1417779
136,37273,3.3958,22,5.051867219917012,1.014948859166011,1335,3.2287581699346406,34.23,-119.03,12,1.6292343
137,37274,1.9583,50,4.341389728096677,1.0909090909090908,1184,4.8452655889145495,38.02,-122.26,19,1.1165259
138,37275,3.6375,52,4.239316239316238,1.058201058201058,766,2.06525821596244,37.78,-122.44,11,3.736962
139,37276,2.2743,11,5.366594360086768,1.0414012738853504,1623,2.644628099173554,38.43,-122.62,22,1.1476448
140,37277,3.4712,25,4.126719745222975,0.9409448818897638,2549,3.422828427853553,33.9,-118.11,1,1.5765457
141,37278,2.1484,52,2.847826086956522,1.0381637168141593,806,3.2065217391304346,34.05,-118.27,27,2.0638573
142,37279,6.2452,15,7.769585253456221,1.0686813186813189,1633,2.8484848484848486,37.9,-122.11,19,3.278147
143,37280,4.8494,4,4.822299651567945,1.098939929328622,1327,1.9430051813471505,37.29,-121.86,26,2.6088004
144,37281,5.5126,25,5.412186379928316,1.235565819861432,1451,1.7138157894736843,34.03,-119.73,29,3.7210448
145,37282,2.9453,21,3.757617728531856,1.0231362467866325,1498,2.3830334190231364,34.18,-118.47,14,2.2132316
146,37283,5.3226,16,5.30387596899225,0.9832402234636872,1363,3.506650544135429,37.35,-121.84,26,1.9646783
147,37284,7.8239,20,8.185792349726777,1.0612244897959184,2515,3.31404958677686,34.17,-118.88,12,4.3022957
148,37285,2.4662,48,3.9573560767590616,1.174721189591078,613,1.6706443914081146,34.11,-118.35,27,2.6594908
149,37286,4.5481,44,4.326704545454546,1.0738636363636365,1040,3.0,33.87,-118.19,1,1.8982818
150,37287,3.0155,23,3.702592087312415,1.1069958847715715,2764,2.085850556438792,34.18,-118.74,12,2.313085
151,37288,1.0313,48,4.442424242424242,1.0782828282828285,2184,3.504545454545455,34.06,-118.3,27,1.6570596
152,37289,2.9375,19,4.949671772428884,0.9670658682634732,1227,2.8480565371024733,36.75,-119.7,0,1.1456957
153,37290,1.4464,37,3.4608673978065805,1.0976616231086658,1462,5.2204724409448815,34.0,-118.25,27,0.9840537
154,37291,3.7031,34,5.22392135445112,1.0,1822,3.203883495145631,33.83,-117.89,24,1.6734246
155,37292,2.2536,23,3.078,1.07,1815,2.179,34.17,-118.12,1,1.8736889
156,37293,3.0833,38,6.853448275862069,1.5344827586206895,804,2.4655172413793105,38.12,-120.76,16,1.3292704
157,37294,2.4263,48,5.90084985835694,1.1146245059288538,990,2.700534759358289,33.98,-118.33,27,1.6390208
158,37295,2.3125,10,7.508038585209003,1.3322884012539185,910,2.491958762886597,34.13,-116.4,18,1.6108786
159,37296,2.0242,26,4.408878504672897,1.0417910447761194,1413,3.932584269662921,37.77,-120.85,10,0.94691575
160,37297,1.4524,15,4.31064572425829,1.0567651632970452,2808,2.147806004618938,35.3,-119.07,9,0.61465603
161,37298,2.9832,36,4.827651515151516,1.032520325203252,1511,2.724752475247525,37.66,-122.11,2,1.779061
162,37299,5.1777,26,5.084615384615384,1.0,504,2.777173913043478,34.17,-118.42,14,2.6486833
163,37300,2.5197,35,4.944333996023857,1.0558464223385688,1497,2.35661131147541,37.8,-122.26,2,1.1917294
164,37301,3.0403,41,4.341145833333333,1.1708333333333334,939,2.745614035087719,33.9,-118.35,27,1.6366571
165,37302,1.3191,16,4.510948905109489,1.051094890510949,3059,1.4635036496350364,38.67,-121.29,5,1.0579476
166,37303,5.9202,25,6.128851540616247,1.031372549019608,938,2.5686274509803924,37.24,-121.98,26,2.910864
167,37304,5.5563,27,6.281739130434783,1.0739130434782609,1335,2.734782608695652,32.8,-116.91,23,2.4844115
168,37305,3.0114,34,5.36624203821656,1.0335820895522387,4100,2.7572815533980584,38.59,-121.38,5,1.499967
169,37306,3.7188,19,4.786854460093897,1.0116618075801749,2817,2.516333938294011,32.85,-116.96,23,1.6049267
170,37307,4.0049,23,5.253863157894737,1.0154525386313469,1877,2.6198630136986303,33.72,-117.99,24,2.3619745
171,37308,8.2831,32,8.062893081761006,1.056710775047259,596,2.075391180654339,37.36,-122.03,26,4.733444
172,37309,5.4485,29,6.009009009009009,1.0,1713,2.508108108108108,37.92,-121.99,19,2.348098
173,37310,3.3679,21,4.781659388646288,1.0619469026548674,1087,2.388646288209607,33.19,-117.37,4,2.0369792
174,37311,3.5114,52,5.146520146520147,1.051282051282051,905,3.8996960486322174,37.75,-122.16,2,1.6263558
175,37312,3.1127,17,5.3788927335640135,1.0474040632054176,1353,3.13452914798206,32.7,-117.1,23,1.3099779
176,37313,4.4167,25,4.478176527643065,1.0041551246537397,1085,2.788860103626943,33.94,-118.32,27,2.685126
177,37314,3.2946,52,3.292825112107624,1.0407239819004526,1202,1.4950248756218905,37.8,-122.43,11,3.7856445
178,37315,2.2448,35,4.917857142857143,1.0372340425531914,1386,3.27081632653061,36.81,-119.69,0,0.70551366
179,37316,1.6571,9,4.808695652173913,1.2178683385579938,1335,3.5597826086956523,36.14,-120.36,0,0.86279845
180,37317,8.3605,13,8.16279069767442,1.041860465116279,1585,3.1116279069767443,33.65,-117.64,24,4.031537
181,37318,4.4777,39,5.317865429234339,1.0538922155688624,2370,3.8458498023715415,33.96,-118.31,27,2.1638637
182,37319,3.7381,22,4.818443804034582,0.9852289512555392,2415,2.359838274932614,34.02,-117.43,8,1.2086772
183,37320,2.0347,32,4.683168316831683,1.041050446505262,1109,2.717491749174917,35.37,-119.0,9,0.86746407
184,37321,3.4015,23,4.176315789473684,1.1263157894736842,1464,2.144736842105264,37.98,-121.34,16,1.3916199
185,37322,4.8953,13,5.280442804428044,0.9949367088607596,2683,2.861198738170347,38.63,-121.42,5,1.8724374
186,37323,4.2837,17,5.140186915887851,1.0369127516778522,1092,2.1219903691813804,33.47,-117.66,24,2.584047
187,37324,2.5195,35,5.144886363636363,1.0113636363636365,671,2.602272727272727,38.04,-121.37,16,0.9265722
188,37325,1.9073,52,2.5535714285714284,1.1453287197231834,526,1.6388261851015802,34.1,-118.37,27,3.3622518
189,37326,1.9464,34,3.9127516778523495,1.0687679083094557,2085,3.723707664884136,32.71,-117.04,23,0.9390876
190,37327,1.8477,52,3.2963374028856824,1.078740157480315,686,1.908174692049272,37.77,-122.41,11,1.1403415
191,37328,3.2981,29,5.178362573099415,1.0789115646258505,1043,2.702127659574468,37.8,-121.21,16,1.2864666
192,37329,2.2976,20,4.25,1.064102564102564,2129,3.071794871794872,34.1,-118.24,27,1.3314582
193,37330,2.3421,22,3.8484848484848486,1.0717863105175292,7139,2.8454011741682974,38.66,-121.64,5,1.1899064
194,37331,3.3333,21,4.027027027027027,1.027027027027027,577,2.667953667953668,34.28,-119.29,12,1.9791597
195,37332,1.9937,20,4.474714518760195,1.1174551386623164,1734,2.787003610108304,33.76,-117.05,8,1.1105171
196,37333,4.2262,52,4.291297935103245,0.9665071770334928,1290,2.382096069868996,34.12,-117.87,1,1.8349562
197,37334,2.5,28,3.706206896551724,1.012594458438287,585,2.396135265700483,37.79,-122.27,2,1.5369699
198,37335,4.0588,13,6.131736526946108,1.0124653739612188,2957,2.5968169761273208,32.73,-116.77,23,1.5343847
199,37336,3.0651,19,5.545562130177514,1.0397387044093631,2205,2.5098039215686274,36.98,-121.32,15,1.0699711
200,37337,1.7981,20,4.686046511627907,1.1569767441860466,1135,2.336099585062241,37.33,-119.65,0,0.6455931
201,37338,2.6406,36,4.908466819221968,1.0170261066969353,2071,2.255885363357216,34.09,-118.36,27,2.4792407
202,37339,2.9735,9,5.451086956521739,1.1331521739130437,2661,3.2565217391304344,37.39,-120.71,10,1.2166003
203,37340,2.7308,43,3.7374701670644392,1.045822102425876,1820,3.431226765799257,33.98,-118.25,27,1.3943574
204,37341,5.0206,16,5.496969696969697,1.0265151515151516,1315,2.647727272727273,37.41,-121.86,26,2.5321114
205,37342,3.3836,22,4.928363988383349,1.0744466800804828,899,2.6780905752753976,33.66,-117.98,24,2.0254493
206,37343,2.3859,25,3.747875354107649,1.0538243626062322,1016,5.212361331220285,34.28,-118.46,14,1.8089325
207,37344,4.0703,27,5.069868995633188,1.0635359116022098,2216,3.094437257438551,38.0,-122.32,11,1.8804424
208,37345,10.7958,31,8.944642857142858,1.2366071428571428,976,2.9642857142857144,34.11,-118.67,14,4.804089
209,37346,1.5132,24,2.843642611683849,1.1643454038997214,1509,3.072769953051643,34.07,-118.29,27,2.0508146
210,37347,2.6458,43,4.4491525423728815,1.1483050847457628,1543,2.940677966101695,33.94,-118.33,27,1.4010845
211,37348,3.4844,18,6.139767054908486,1.077720207253886,999,2.5848101265822785,40.2,-122.19,13,1.3630319
212,37349,2.1524,28,3.76890756302521,0.96218487394958,1135,3.4201680672268906,34.09,-118.16,1,1.3011528
213,37350,3.0252,32,4.292887029288703,1.0890410958904109,1511,2.9262886597938143,34.1,-118.13,1,1.8584938
214,37351,5.1104,15,5.640198511166253,1.083623693379791,13251,2.946058091286307,33.63,-117.91,24,2.062657
